epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,1110.06,1.04898,2.07124,1.49909,0.02099,1.65596,0.8824,0.88597,0.95381,0.73824,0.8824,0.88597,0.95741,0.77147,0.84089,0.88178,0.51847,0.02941,0,0.000331532,0.000331532,0.0671784
2,2158.85,0.9795,1.5512,0.89109,0.01963,1.07491,0.77805,0.85376,0.92168,0.73383,0.89192,0.76133,0.92417,0.75656,0.76815,0.91999,0.61542,0.02655,0,0.000642924,0.000642924,0.0341564
3,3196.97,0.9526,1.49017,0.78996,0.01911,0.98201,0.8883,0.9262,0.97102,0.75389,0.89184,0.92989,0.97238,0.81277,0.88592,0.99827,0.4299,0.03184,0,0.000932317,0.000932317,0.0011125
4,4132,0.91026,1.40296,0.73238,0.01823,1.01646,0.92076,0.95203,0.97916,0.80544,0.92432,0.95572,0.985,0.84257,0.72787,0.75595,0.34771,0.02533,0,0.000901,0.000901,0.000901
5,5251.91,0.90473,1.35715,0.70295,0.01791,0.95766,0.89473,0.92251,0.96202,0.7712,0.90874,0.91859,0.96768,0.81552,0.78816,0.93601,0.53367,0.02736,0,0.000868,0.000868,0.000868
6,6251.55,0.87211,1.31626,0.67859,0.01714,0.86129,0.91761,0.94096,0.9761,0.80485,0.92121,0.94465,0.97726,0.88681,0.72483,0.65664,0.38937,0.0253,0,0.000835,0.000835,0.000835
7,7217.35,0.83578,1.23362,0.63586,0.01641,0.83217,0.96428,0.91882,0.98397,0.83012,0.96989,0.9262,0.98559,0.87801,0.65977,0.81884,0.33765,0.02254,0,0.000802,0.000802,0.000802
8,8182.27,0.81103,1.21885,0.61116,0.01583,0.75261,0.91171,0.94465,0.9795,0.83903,0.91897,0.94834,0.98084,0.88502,0.65535,0.59382,0.34635,0.0228,0,0.000769,0.000769,0.000769
9,9238.87,0.79055,1.26731,0.61618,0.01513,0.83994,0.97585,0.95941,0.99179,0.87919,0.97585,0.95941,0.99179,0.89982,0.54113,0.60007,0.23116,0.01805,0,0.000736,0.000736,0.000736
10,10290.2,0.7744,1.21766,0.57899,0.01472,0.765,0.96503,0.91656,0.98527,0.87371,0.96892,0.92025,0.98631,0.89911,0.53678,0.62168,0.26358,0.01846,0,0.000703,0.000703,0.000703
11,11284.9,0.74076,1.17062,0.54218,0.01423,0.73306,0.92988,0.97866,0.98336,0.86602,0.93338,0.98235,0.98582,0.91538,0.55065,0.56044,0.25949,0.01938,0,0.00067,0.00067,0.00067
12,12419.3,0.73557,1.10562,0.55139,0.01403,0.69774,0.93238,0.97417,0.98769,0.86396,0.96409,0.94465,0.98938,0.91869,0.55443,0.57378,0.25846,0.0188,0,0.000637,0.000637,0.000637
13,13511.3,0.71729,1.07837,0.53546,0.01316,0.71375,0.98127,0.96674,0.9929,0.89109,0.98502,0.97043,0.99336,0.91631,0.47005,0.56291,0.19192,0.01564,0,0.000604,0.000604,0.000604
14,14684.9,0.69685,1.11525,0.51685,0.01305,0.69132,0.9736,0.97786,0.99298,0.92021,0.97727,0.98155,0.99332,0.9339,0.40515,0.54618,0.17967,0.01341,0,0.000571,0.000571,0.000571
15,15778.8,0.65382,1.03802,0.48379,0.01218,0.62433,0.96725,0.98075,0.99287,0.91676,0.97088,0.98439,0.99388,0.9374,0.4259,0.54175,0.17818,0.01432,0,0.000538,0.000538,0.000538
16,16783.2,0.66407,1.04403,0.50958,0.01236,0.64304,0.96742,0.98608,0.9936,0.92342,0.97104,0.98977,0.99408,0.94159,0.4106,0.48768,0.18397,0.01363,0,0.000505,0.000505,0.000505
17,17827.6,0.64303,1.00879,0.46642,0.01206,0.62822,0.97048,0.9704,0.99137,0.91934,0.97416,0.97384,0.99288,0.93462,0.41232,0.47177,0.18917,0.01383,0,0.000472,0.000472,0.000472
18,18782.1,0.63662,0.96872,0.45296,0.01194,0.56803,0.98833,0.98155,0.99363,0.91997,0.98514,0.97838,0.99387,0.93956,0.42483,0.48848,0.17108,0.01436,0,0.000439,0.000439,0.000439
19,19935.4,0.64141,1.01009,0.4822,0.0118,0.65563,0.98891,0.98759,0.99426,0.91492,0.99261,0.99128,0.99459,0.94295,0.41078,0.45791,0.15549,0.01349,0,0.000406,0.000406,0.000406
20,20999.8,0.59063,0.93107,0.45077,0.01037,0.55653,0.98109,0.97786,0.99353,0.93823,0.98479,0.98155,0.9942,0.95196,0.36231,0.46213,0.1616,0.01196,0,0.000373,0.000373,0.000373
21,22103.7,0.51352,0.62892,0.36393,0.0168,0.48142,0.98857,0.99262,0.99127,0.91656,0.99628,0.9887,0.99489,0.95148,0.42162,0.45938,0.1644,0.01413,0,0.00034,0.00034,0.00034
22,23182.4,0.49752,0.56155,0.30008,0.01633,0.4471,0.97263,0.98155,0.99322,0.91406,0.97629,0.98524,0.9943,0.95826,0.43349,0.43537,0.16813,0.01485,0,0.000307,0.000307,0.000307
23,24178.6,0.42671,0.5446,0.25616,0.01341,0.41519,0.99247,0.97329,0.99449,0.96327,0.98889,0.98505,0.99463,0.95782,0.30371,0.42395,0.14044,0.00987,0,0.000274,0.000274,0.000274
24,25312.3,0.40828,0.53727,0.25632,0.01272,0.44806,0.98897,0.99236,0.99429,0.96038,0.99906,0.98524,0.99489,0.9598,0.29845,0.44523,0.11344,0.0096,0,0.000241,0.000241,0.000241
25,26401.1,0.39046,0.51511,0.24484,0.01195,0.40987,0.98483,0.99262,0.99444,0.95997,0.98483,0.99262,0.99478,0.95894,0.31486,0.43607,0.1253,0.01026,0,0.000208,0.000208,0.000208
26,27368.3,0.37372,0.49258,0.22748,0.01119,0.38584,0.98883,0.98024,0.99426,0.96802,0.99256,0.98393,0.99478,0.95644,0.27485,0.42351,0.12857,0.00892,0,0.000175,0.000175,0.000175
27,28503.4,0.35351,0.48461,0.2158,0.01084,0.39131,0.99258,0.9872,0.99455,0.95919,0.99629,0.99089,0.99493,0.95061,0.31443,0.43077,0.11817,0.01002,0,0.000142,0.000142,0.000142
28,29553.7,0.35481,0.48369,0.20583,0.01058,0.39464,0.99752,0.97786,0.99454,0.96568,0.9985,0.98524,0.99485,0.96298,0.27742,0.41854,0.11205,0.00894,0,0.000109,0.000109,0.000109
29,30685.5,0.33495,0.46151,0.20269,0.01008,0.38531,0.97831,0.99867,0.99429,0.9669,0.97831,0.99867,0.99456,0.95614,0.27023,0.42414,0.11509,0.00872,0,7.6e-05,7.6e-05,7.6e-05
30,31759.4,0.31648,0.46388,0.21241,0.00949,0.3603,0.99148,1,0.99489,0.96987,0.99148,1,0.995,0.95939,0.26514,0.41869,0.09504,0.00859,0,4.3e-05,4.3e-05,4.3e-05
